Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SM420561N,7SegmentLED_LTS6760_LTS6780,184.15,-70.485,180,top
D2,LED_RGB,LED_RGB_5050-6,171.45,-37.465,180,top
J1,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,213.36,-69.215,180,top
J2,Conn_01x15_Female,PinSocket_1x15_P2.54mm_Vertical,190.5,-69.215,180,top
R1,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,167.64,-51.435,-90,top
R2,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,170.18,-51.435,-90,top
R3,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,172.72,-51.435,-90,top
R4,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,175.26,-51.435,-90,top
R5,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,177.8,-51.435,-90,top
R6,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.34,-51.435,-90,top
R7,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,182.88,-51.435,-90,top
R8,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,185.42,-51.435,-90,top
R9,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.975,-37.465,180,top
R10,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.975,-41.275,180,top
R11,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.975,-33.655,180,top
R12,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,222.885,-64.135,90,top
R13,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,222.885,-51.435,90,top
R14,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,222.885,-38.735,90,top
SW1,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,230.505,-64.135,90,top
SW2,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,230.505,-51.435,90,top
SW3,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,230.505,-39.37,90,top
U1,MCP9700AT-ETT,SOT-23,202.184,-69.469,90,top
